 time[yr],type[tp/pl],particle no.,x[AU],y[AU],z[AU],vx[AU/year],vy[AU/year],vz[AU/year],a,e,inc[degrees]
         0.0001, tp,    11,   -0.000869291,    0.000338267,   -0.000000061,  -48.531377436, -181.410207571,   -0.012386155,    0.000799462,    0.198655143,    0.005654940
         0.0001, tp,    12,   -0.000765010,    0.000269633,    0.000000000, -113.064855224, -188.437371021,   -0.033279591,    0.000804883,    0.200349435,    0.008862399
         0.0001, tp,    13,   -0.000513500,    0.000415551,    0.000000096, -149.797838592, -219.902825433,    0.006480574,    0.000810146,    0.201545686,    0.008600658
         0.0001, tp,    14,    0.000134109,   -0.000851881,    0.000000049,  207.430332069,   -7.549069673,    0.003161902,    0.000814435,    0.199867591,    0.003250519
         0.0001, tp,    15,    0.000465086,    0.000861876,   -0.000000035, -155.513594564,   90.699572657,   -0.017905973,    0.000818878,    0.198649645,    0.005996114
         0.0001, tp,    16,    0.000686508,    0.000676017,    0.000000157, -114.832313265,  144.367651439,    0.003275385,    0.000823819,    0.198903933,    0.009337759
         0.0001, tp,    17,    0.000800452,   -0.000585569,   -0.000000029,  101.830233276,  146.953889443,   -0.024346870,    0.000828561,    0.198576286,    0.008027234
         0.0001, tp,    18,   -0.000649869,    0.000146879,    0.000000010,  -61.941250961, -259.557928310,    0.005231726,    0.000834633,    0.202072680,    0.001410643
         0.0001, tp,    19,   -0.000841758,    0.000171170,   -0.000000053,  -82.616120954, -195.011258081,   -0.014551355,    0.000838825,    0.200169772,    0.004848266
         0.0001, tp,    20,    0.000571743,   -0.000732376,    0.000000103,  172.444738228,   91.850126775,   -0.018497461,    0.000843438,    0.199473441,    0.009166685
         0.0001, tp,    21,    0.000933841,   -0.000400135,   -0.000000121,   71.937045876,  161.203588123,   -0.018155358,    0.000847991,    0.198612928,    0.008942149
         0.0001, tp,    22,   -0.000939988,    0.000268209,   -0.000000112,  -74.927201106, -169.937705980,    0.007245196,    0.000853015,    0.199093983,    0.007262943
         0.0001, tp,    23,    0.000838101,    0.000279299,    0.000000058,  -25.414413488,  206.715455550,   -0.022906806,    0.000858232,    0.200107083,    0.008121024
         0.0001, tp,    24,   -0.000566156,   -0.000454527,   -0.000000085,  180.348809262, -174.656724046,    0.010161886,    0.000863482,    0.201195031,    0.006838703
         0.0001, tp,    25,    0.000679876,    0.000137007,    0.000000048,  -55.089572171,  255.659796931,   -0.029039366,    0.000868634,    0.201996416,    0.007437551
         0.0001, tp,    26,   -0.000898758,    0.000462798,    0.000000077,  -62.894850697, -169.971915449,   -0.024307514,    0.000872295,    0.198701084,    0.008417581
         0.0001, tp,    27,    0.000244815,    0.000755701,   -0.000000084, -205.606072062,  110.287458672,   -0.021906389,    0.000878102,    0.201307133,    0.007477367
         0.0001, tp,    28,   -0.000272513,    0.000761579,    0.000000018, -227.097580159,  -36.430847357,    0.027992811,    0.000882918,    0.201188534,    0.006973340
         0.0001, tp,    29,   -0.000583876,   -0.000506068,   -0.000000034,  183.547796907, -154.991158312,    0.033001748,    0.000887650,    0.200844929,    0.007979146
         0.0001, tp,    30,    0.000887968,   -0.000545497,    0.000000119,  108.546347063,  140.402369763,   -0.007096004,    0.000891783,    0.198892280,    0.007186430
         0.0001, tp,    31,    0.000634735,   -0.000823869,   -0.000000004,  127.435012643,  125.082880893,   -0.029889999,    0.000896567,    0.198699966,    0.009685261
         0.0001, tp,    32,   -0.000365316,   -0.000623733,   -0.000000020,  225.072482446, -121.805937109,   -0.036855466,    0.000902633,    0.201917350,    0.008460167
         0.0001, tp,    33,    0.000861148,    0.000180070,    0.000000077,  -84.740974425,  197.551036497,   -0.003032626,    0.000906730,    0.199906468,    0.005008847
         0.0001, tp,    34,    0.000941702,    0.000059285,    0.000000045,   27.138682487,  199.091450071,    0.026915471,    0.000911631,    0.200022414,    0.007774077
         0.0001, tp,    35,   -0.000208404,   -0.001036753,    0.000000141,  177.212638933,  -12.689969434,   -0.021338414,    0.000915996,    0.198729098,    0.009692077
         0.0001, tp,    36,    0.000455823,    0.001001129,   -0.000000103, -157.427677913,   64.187696292,   -0.009839103,    0.000920792,    0.198574692,    0.006419036
         0.0001, tp,    37,   -0.000807563,    0.000730310,   -0.000000030, -127.422613091, -116.767882410,    0.028799218,    0.000925740,    0.198820740,    0.009858543
         0.0001, tp,    38,    0.000949065,   -0.000329178,   -0.000000004,   94.325590834,  165.211237820,    0.004192646,    0.000930905,    0.199623927,    0.001356297
         0.0001, tp,    39,    0.001040683,   -0.000258797,    0.000000040,   65.867191531,  164.593053811,   -0.026010168,    0.000935544,    0.199063957,    0.009031397
         0.0001, tp,    40,   -0.000872825,   -0.000567251,    0.000000054,   72.712639408, -169.080007448,    0.019911502,    0.000940525,    0.199386016,    0.006499807
         0.0001, tp,    41,    0.001080172,    0.000205936,   -0.000000084,  -51.723863836,  165.398203253,   -0.003118171,    0.000945108,    0.198691025,    0.004657814
         0.0001, tp,    42,    0.001131490,    0.000123609,    0.000000042,  -20.098631067,  165.544152542,   -0.019372307,    0.000949919,    0.198579192,    0.006953878
